Age,Annual_Income,Credit_Score,Loan_Amount,Employment_Years,Debt_To_Income_Ratio,Dependents,Approved
19,31,762,33,40,0.980611201,1,0
64,68,362,29,19,0.666261303,1,0
31,83,430,97,20,0.246705407,5,0
66,190,356,83,11,0.065039299,2,0
35,63,673,51,24,0.266821767,0,1
70,35,386,14,30,0.102470266,5,0
63,121,634,19,1,0.157263447,3,1
31,194,675,78,28,0.957703413,2,0
43,105,797,84,9,0.259193149,5,1
32,41,434,30,39,0.685722106,5,0
60,150,526,21,16,0.450724609,1,0
68,101,802,54,20,0.23266917,1,1
26,130,437,69,6,0.994629288,3,0
51,149,637,77,19,0.085772756,2,1
26,96,466,69,28,0.948326583,1,0
54,47,764,61,27,0.673177869,1,0
21,76,629,47,8,0.430285626,2,1
41,126,512,86,3,0.305391171,5,0
69,89,677,28,20,0.737832361,1,0
36,32,694,25,10,0.646260945,2,0
67,70,368,26,34,0.175961319,4,0
63,105,522,68,28,0.968699547,1,0
24,40,827,55,19,0.658098885,1,0
65,93,775,38,34,0.262718018,4,1
70,115,834,10,5,0.004940305,0,1
63,129,663,98,0,0.683825104,4,1
41,46,420,14,33,0.653055908,4,0
40,110,452,39,8,0.710282284,1,0
47,120,308,19,11,0.366511756,5,0
32,157,671,7,14,0.19078157,2,1
55,44,549,68,26,0.83720991,3,0
19,82,516,35,9,0.103479227,3,0
32,166,796,63,24,0.074573523,4,1
58,131,589,36,1,0.451389899,1,0
29,190,330,78,4,0.77350277,2,0
47,168,723,87,0,0.837953554,3,1
57,114,385,51,16,0.099535661,0,0
44,102,438,90,24,0.264516219,4,0
20,71,411,21,34,0.937362672,0,0
21,185,369,19,26,0.761948699,0,0
40,74,346,94,1,0.620802522,5,0
41,75,610,8,7,0.027935804,5,0
70,90,710,55,8,0.65905985,0,0
53,48,446,21,38,0.792236167,1,0
36,135,672,6,25,0.593596135,5,0
53,138,659,78,17,0.770547045,5,0
49,175,563,69,28,0.132586096,5,0
34,191,728,28,27,0.502365489,0,0
25,83,620,50,1,0.994165632,0,0
38,156,309,56,4,0.621874561,2,0
19,180,367,25,40,0.605217284,0,0
19,119,586,39,12,0.843791344,1,0
40,168,516,55,18,0.652296884,3,0
28,174,761,23,38,0.241896304,0,1
63,118,526,24,37,0.372028889,5,0
64,191,599,74,14,0.790157971,0,0
49,28,758,73,31,0.503044116,0,0
26,89,552,68,12,0.149379479,0,0
68,146,400,80,10,0.72327594,2,0
62,160,519,49,3,0.100666387,3,0
24,150,656,27,38,0.177235274,2,1
26,34,591,20,0,0.626769462,3,0
32,127,551,45,31,0.436996576,1,0
56,30,307,5,13,0.393705423,2,0
64,113,673,74,32,0.845362157,3,0
32,142,479,42,19,0.897866932,5,1
40,173,753,51,11,0.240741138,4,1
66,38,392,100,19,0.586958435,0,0
23,108,332,53,2,0.069812691,2,0
52,41,775,48,9,0.506411307,2,0
54,196,345,10,5,0.761252753,2,0
21,107,307,21,33,0.020271373,0,0
60,104,446,76,10,0.071406274,4,0
33,26,618,73,35,0.769603305,0,0
34,25,308,59,24,0.568271854,0,0
34,80,841,18,8,0.269256183,2,1
25,164,832,40,5,0.288660061,3,1
68,54,773,94,10,0.596207963,4,0
21,63,767,97,12,0.669257884,3,0
